2026-04-15T04:47:05.382Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:16:50.017Z JOY-00E7-B1 item.created "Per-session human authorization for AI delegation" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:17:03.983Z JOY-00E8-3D item.created "Stable per-(human, AI) delegation key in project.yaml" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:17:13.369Z JOY-00E9-C2 item.created "Ephemeral session keypair bound to JOY_SESSION env var" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:17:21.590Z JOY-00EA-45 item.created "Single-use delegation tokens with 2h issuance TTL" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:17:26.706Z JOY-00EB-6C item.created "Shell completion for member IDs in joy auth token add" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:18:58.289Z JOY-00E8-3D item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:25:00.500Z JOY-00EC-64 item.created "Restrict file system access per item/job" [horst.schwarz@joydev.com]
2026-04-15T05:39:07.657Z JOY-00E8-3D item.updated "Stable per-(human, AI) delegation key in project.yaml" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:39:17.835Z JOY-00E9-C2 item.updated "Ephemeral session keypair bound to JOY_SESSION env var" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:39:29.658Z JOY-00E8-3D comment.added "Plan: ADR-033 drafted in JI repo at docs/dev/architecture/decisions/ADR-033-per-session-human-authorization.md. Implementation will land JOY-00E8-3D and JOY-00E9-C2 together as one coordinated migration (shared project.yaml schema change, shared auth/token/session code paths). JOY-00EA-45 (single-use + 2h TTL) lands separately on top. JOY-00EB-6C (shell completion) is independent." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:42:43.122Z JOY-00E9-C2 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
