2026-04-28T16:31:18.771Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:31:37.376Z JOY-011F-65 item.created "Normalize short-form item IDs in parent and deps refs" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:31:45.368Z JOY-0120-8D item.created "Preserve ancestor context in tree and roadmap views" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:31:53.379Z JOY-011F-65 comment.added "Plan: 1) Add short->full ID resolution in load_items (joy-core/src/items.rs). 2) Apply to parent and each entry of deps in memory after loading. 3) Add unit tests in items.rs for the normalization. 4) Add integration test reproducing the user-visible symptoms (ls --tree, deps, blocked filter)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:31:53.425Z JOY-011F-65 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:38:09.261Z JOY-011F-65 comment.added "[x] Added short_form() and normalize_id_refs() in load_items.\n[x] Made load_item() go through load_items so single-item edits also persist normalized refs.\n[x] 7 unit tests in items.rs.\n[x] 5 BATS integration tests in tests/integration/short_form_refs.bats covering ls --tree, deps, --blocked, lazy persist on write, and full-form passthrough.\n[x] All 360 cargo + 189 bats tests pass." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:41:30.038Z JOY-011F-65 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:41:30.139Z JOY-011F-65 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:41:37.548Z JOY-0120-8D comment.added "Plan: 1) In ls.rs, before tree rendering, expand the visible set with ancestor chains of every primary item, marking ancestors as 'context'. 2) Render context items with the existing inactive/dimmed style. 3) For roadmap, perform the expansion per milestone bucket. 4) Bucket counters and stats remain over primary items only. 5) BATS integration tests for: closed parent + active child (Bug A), child with own milestone different from parent (Bug B), recursive ancestor chain." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:41:37.587Z JOY-0120-8D item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-28T16:50:45.801Z JOY-0120-8D comment.added "[x] Added expand_with_ancestors helper in ls.rs.\n[x] print_tree_by_parent and print_parent_grouped_children pull ancestors of primary items into the visible set; ancestors are rendered with the existing inactive style.\n[x] print_tree_node and print_ms_tree_node take a context_ids set and dim ancestors regardless of status.\n[x] Bucket counters in joy roadmap continue to use effective_milestone over all_items, so context ancestors do not inflate primary counts.\n[x] 4 BATS integration tests in ancestor_context.bats covering: closed parent + active child, three-level chain with closed middle, child in different milestone, counter correctness." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
